1222-valid,95
1223-valid,94
1224-valid,34
1225-valid,88
1226-valid,97
1227-valid,437
1228-valid,116
1229-valid,297
1230-valid,99
1231-valid,103
1232-valid,110
1233-valid,51
1234-valid,145
1235-valid,5
1236-valid,18
1237-valid,230
1238-valid,107
1239-valid,90
1240-valid,81
1241-valid,236
1242-valid,53
1243-valid,46
1244-valid,57
1245-valid,18
1246-valid,16
1247-valid,27
1248-valid,60
1249-valid,48
1250-valid,22
1251-valid,33
1252-valid,28
1253-valid,45
1254-valid,4
1255-valid,45
1256-valid,215
1257-valid,30
1258-valid,12
1259-valid,4
1260-valid,5
1261-valid,297
1262-valid,3
1263-valid,37
1264-valid,57
1265-valid,19
1266-valid,189
1267-valid,40
1269-valid,7
1270-valid,32
1271-valid,98
1272-valid,51
1273-valid,85
1274-valid,10
1275-valid,20
1276-valid,21
1277-valid,194
1278-valid,9
1279-valid,8
1280-valid,8
1286-valid,245
1288-valid,61
1289-valid,29
1290-valid,14
1291-valid,308
1292-valid,271
1293-valid,165
1294-valid,155
1295-valid,165
1296-valid,5
1297-valid,1
1300-valid,1
1301-valid,15
1302-valid,4
1305-valid,13
1306-valid,3
1307-valid,20
1314-valid,28
1317-valid,378
1318-valid,136
1319-valid,64
1320-valid,149
1321-valid,81
1322-valid,172
1323-valid,92
1324-valid,73
1325-valid,43
1326-valid,1
1327-valid,32
1333-valid,163
1334-valid,84
1335-valid,95
1336-valid,87
1337-valid,89
1338-valid,77
1339-valid,79
1340-valid,83
1341-valid,77
1342-valid,10
1502-valid,210
1505-valid,226
1507-valid,104
1508-valid,86
1510-valid,53
1511-valid,1
1513-valid,144
1222-invalid,46
1223-invalid,7
1224-invalid,2
1225-invalid,22
1226-invalid,4
1227-invalid,3
1232-invalid,330
1233-invalid,264
1234-invalid,68
1235-invalid,61
1236-invalid,78
1246-invalid,179
1247-invalid,14
1248-invalid,7
1249-invalid,4
1250-invalid,10
1251-invalid,262
1252-invalid,82
1253-invalid,41
1254-invalid,29
1255-invalid,36
1256-invalid,166
1257-invalid,94
1258-invalid,35
1259-invalid,20
1260-invalid,17
1262-invalid,73
1266-invalid,383
1267-invalid,7
1268-invalid,68
1269-invalid,405
1270-invalid,4
1275-invalid,2
1276-invalid,368
1277-invalid,65
1278-invalid,71
1279-invalid,17
1280-invalid,29
1287-invalid,240
1291-invalid,89
1292-invalid,61
1293-invalid,19
1294-invalid,4
1295-invalid,37
1296-invalid,168
1297-invalid,93
1298-invalid,51
1299-invalid,35
1300-invalid,25
1301-invalid,30
1302-invalid,38
1303-invalid,2
1304-invalid,2
1305-invalid,176
1306-invalid,65
1307-invalid,53
1308-invalid,45
1309-invalid,103
1310-invalid,73
1311-invalid,93
1312-invalid,61
1313-invalid,48
1314-invalid,44
1315-invalid,66
1316-invalid,45
1317-invalid,181
1318-invalid,190
1321-invalid,188
1322-invalid,192
1323-invalid,189
1324-invalid,190
1329-invalid,7
1342-invalid,12
1344-invalid,2
1501-invalid,88
1503-invalid,6
1504-invalid,46
1505-invalid,9
1506-invalid,37
1511-invalid,84
1291-null,28
